Country/Region,Province/State,01/22/20,01/23/20,01/24/20,01/25/20,01/26/20,01/27/20,01/28/20,01/29/20,01/30/20,01/31/20,02/01/20,02/02/20,02/03/20,02/04/20,02/05/20,02/06/20,02/07/20,02/08/20,02/09/20,02/10/20,02/11/20,02/12/20,02/13/20,02/14/20,02/15/20,02/16/20,02/17/20,02/18/20,02/19/20,02/20/20,02/21/20,02/22/20,02/23/20,02/24/20,02/25/20,02/26/20,02/27/20,02/28/20,02/29/20,03/01/20,03/02/20,03/03/20,03/04/20,03/05/20,03/06/20,03/07/20,03/08/20,03/09/20,03/10/20,03/11/20,03/12/20,03/13/20,03/14/20,03/15/20,03/16/20,03/17/20,03/18/20,03/19/20,03/20/20,03/21/20,03/22/20,03/23/20,03/24/20,03/25/20,03/26/20,03/27/20,03/28/20,03/29/20,03/30/20,03/31/20,04/01/20,04/02/20,04/03/20,04/04/20,04/05/20,04/06/20,04/07/20,04/08/20,04/09/20,04/10/20,04/11/20,04/12/20,04/13/20,04/14/20,04/15/20,04/16/20,04/17/20,04/18/20,04/19/20,04/20/20,04/21/20,04/22/20,04/23/20,04/24/20,04/25/20,04/26/20,04/27/20,04/28/20,04/29/20,04/30/20,05/01/20,05/02/20,05/03/20,05/04/20,05/05/20,05/06/20
Afghanistan,,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4485786259174347,0.7401134371757507,0.9665709733963013,1.0541143417358398,1.1412452459335327,1.21546471118927,1.2539931535720825,1.2442162036895752,1.2962709665298462,1.0332005023956299,0.845641553401947,1.3201003074645996,1.5877461433410645,2.70998215675354,3.4110405445098877,4.95351505279541,6.634053707122803,7.085718154907227,8.79968547821045,11.420281410217285,14.46041202545166,21.123382568359375,22.060745239257812,22.857471466064453,24.546016693115234,27.268888473510742,31.850303649902344,40.605369567871094,50.69166564941406,60.49953079223633,76.9273681640625,91.34400939941406,108.6952133178711,128.35366821289062,151.40467834472656,176.44554138183594,200.77346801757812,231.03494262695312,253.96499633789062,275.7308654785156,296.4212341308594,349,367,423,444,484,521,555,607,665,714,784,840,906,933,996,1026,1092,1176,1279,1351,1463,1531,1703,1828,1939,2171,2335,2469,2704,2894,3224,3392
Albania,,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,1.765267252922058,5.080002307891846,14.772254943847656,19.813396453857422,31.605566024780273,40.02914810180664,42.00041198730469,52.13085174560547,58.41708755493164,64.85699462890625,73.31663513183594,71.6340103149414,82.85435485839844,95.95494842529297,109.80572509765625,122.4660415649414,169.23898315429688,182.02859497070312,198.64366149902344,202.24789428710938,214.47003173828125,229.31300354003906,249.34632873535156,267.9948425292969,303.54217529296875,351.95855712890625,397.6846008300781,361,377,383,400,409,416,433,446,467,475,494,518,539,548,562,584,609,634,663,678,712,726,736,750,766,773,782,789,795,803,820,832
Algeria,,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41982129216194153,0.5831537246704102,0.873049795627594,1.0502510070800781,1.3551533222198486,1.9133927822113037,3.2114057540893555,4.374996662139893,7.798172950744629,11.405844688415527,14.332901954650879,17.645477294921875,19.915721893310547,20.713449478149414,22.508785247802734,21.795955657958984,23.003353118896484,28.240571975708008,35.885459899902344,43.103004455566406,55.00835037231445,61.937599182128906,74.25086975097656,90.04730987548828,121.22933959960938,149.32022094726562,188.06578063964844,237.17149353027344,275.8701171875,330.8511657714844,363.88104248046875,428.11077880859375,466.44921875,540.3292846679688,640.606689453125,778.762939453125,900.4728393554688,1020.189453125,1146.4459228515625,1257.26708984375,1320,1423,1468,1572,1666,1761,1825,1914,1983,2070,2160,2268,2418,2534,2629,2718,2811,2910,3007,3127,3256,3382,3517,3649,3848,4006,4154,4295,4474,4648,4838,4997
Andorra,,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.6150332689285278,0.8235428929328918,1.1424013376235962,1.0538142919540405,0.8471850752830505,1.019761085510254,1.0576980113983154,1.0629092454910278,1.150978684425354,0.9228494763374329,0.9478398561477661,0.7947070002555847,0.9318764805793762,1.3479585647583008,4.513055324554443,21.14547348022461,36.786441802978516,52.71567153930664,68.93383026123047,92.66171264648438,116.64056396484375,141.0348358154297,166.41419982910156,179.48681640625,235.16134643554688,276.1739501953125,316.01580810546875,332.87103271484375,366.2192687988281,379.8387756347656,387.1522521972656,410.7419128417969,432.385498046875,461.9023132324219,501,525,545,564,583,601,601,638,646,659,673,673,696,704,713,717,717,723,723,731,738,738,743,743,743,745,745,747,748,750,751,751
Angola,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0209931135177612,1.4600660800933838,2.045811176300049,2.7348954677581787,3.3986449241638184,3.5339431762695312,4.02604866027832,4.535488128662109,5.102352142333984,5.88840389251709,6.64995813369751,7.366825103759766,8.169710159301758,8.936298370361328,9.418227195739746,10.384745597839355,14,16,17,19,19,19,19,19,19,19,19,19,19,24,24,24,24,25,25,25,25,26,27,27,27,27,30,35,35,35,36,36
Antigua and Barbuda,,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.7289109826087952,0.862743616104126,0.966433584690094,0.8368372917175293,0.8749583959579468,0.9335346221923828,1.0622128248214722,1.2618725299835205,1.361510992050171,1.7510552406311035,2.2662644386291504,2.6642966270446777,4.603444576263428,5.885715007781982,6.269761085510254,6.564074993133545,7.180370807647705,7.569891929626465,8.201722145080566,9.292658805847168,10.938596725463867,12.349475860595703,14.04893970489502,15,15,19,19,19,19,21,21,23,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25
Argentina,,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.5448090434074402,0.8124759197235107,1.3806416988372803,3.4480316638946533,5.4222798347473145,10.32402229309082,13.112250328063965,16.49615478515625,18.82033920288086,22.558109283447266,30.144412994384766,37.42510986328125,43.53644561767578,53.91407775878906,66.06217956542969,80.57218170166016,98.84115600585938,138.7484588623047,176.24942016601562,238.9654541015625,322.6652526855469,420.1004638671875,382.3951416015625,499.8227844238281,611.725341796875,730.9761962890625,852.1474609375,935.0742797851562,1079.4049072265625,1183.0198974609375,1331.2994384765625,1417.5919189453125,1552.022216796875,1451,1554,1628,1715,1795,1975,1975,2142,2208,2277,2443,2571,2669,2758,2839,2941,3031,3144,3435,3607,3780,3892,4003,4127,4285,4428,4532,4681,4783,4887,5020,5020
Armenia,,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.5466296672821045,0.6941187381744385,0.8565254211425781,0.9614888429641724,1.0315927267074585,0.9869380593299866,0.9175978302955627,0.9141645431518555,0.8851193189620972,1.0300053358078003,1.9801081418991089,3.0337448120117188,8.725654602050781,16.249839782714844,24.70954704284668,48.59766387939453,77.37989807128906,90.77693176269531,116.88770294189453,136.31793212890625,160.7698974609375,205.52194213867188,229.90383911132812,261.1741027832031,274.3102111816406,315.8247985839844,341.67926025390625,403.4903564453125,446.0944519042969,482.4112243652344,562.2827758789062,638.748291015625,702.566162109375,774.417724609375,818.7904052734375,822,833,853,881,921,937,967,1013,1039,1067,1111,1159,1201,1248,1291,1339,1401,1473,1523,1596,1677,1746,1808,1867,1932,2066,2148,2273,2386,2507,2619,2782
Australia,Australian Capital Territory,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.7284234166145325,1.0635030269622803,1.2810556888580322,1.7606064081192017,2.159980058670044,3.02748966217041,4.6053547859191895,8.14054012298584,11.547039031982422,18.091083526611328,27.072486877441406,37.15184783935547,41.214874267578125,53.711517333984375,62.01068878173828,67.2899398803711,75.45824432373047,76.8900375366211,81.82744598388672,85.26481628417969,90.93606567382812,95.6103515625,101.05876922607422,96,96,96,99,100,103,103,103,102,103,103,103,103,103,103,104,104,104,104,105,106,106,106,106,106,106,106,106,106,107,107,107
Australia,New South Wales,-0.0,0.0,0.0,0.0,1.7336866855621338,2.374591112136841,2.7539756298065186,3.134014368057251,3.465729236602783,3.8079257011413574,4.148380756378174,4.3350982666015625,4.6624250411987305,4.986363410949707,5.205903053283691,5.3721795082092285,4.176119804382324,4.3875956535339355,4.447340965270996,4.334599494934082,4.430543899536133,4.421278476715088,4.370004177093506,4.361130714416504,4.332840919494629,4.278838157653809,4.220200538635254,4.167520523071289,4.163230895996094,4.146979331970215,4.282182216644287,4.216768264770508,4.174798965454102,4.085693836212158,3.6942756175994873,3.618551015853882,4.036838054656982,4.28402042388916,5.23740816116333,6.762836933135986,8.978179931640625,11.029324531555176,15.042304039001465,18.737560272216797,25.950428009033203,31.102397918701172,42.025978088378906,46.859527587890625,51.38043212890625,56.823509216308594,63.93195343017578,94.40911865234375,119.45266723632812,144.1767578125,169.52926635742188,226.6707000732422,276.6068420410156,329.61383056640625,402.7884826660156,482.4296569824219,599.9234619140625,692.370849609375,800.5762939453125,1048.0565185546875,1278.37890625,1485.302978515625,1750.966064453125,1920.4674072265625,2091.24951171875,2275.777587890625,2327.55712890625,2441.12744140625,2493.36083984375,2577.73291015625,2580,2637,2686,2734,2773,2822,2857,2857,2863,2870,2886,2897,2926,2936,2957,2963,2969,2971,2976,2982,2994,3002,3004,3016,3016,3025,3030,3035,3033,3035,3042,3042
