region,date,apl-driving,apl-transit,apl-walking,country,name,iso_alpha2,population,area,density,lat,long,is_region,region_center
Albania,2020-01-13,100.0,,100.0,ALB,Albania,AL,2877797,27400,105.0,41.1533,20.1683,0,
Albania,2020-01-14,95.3,,100.68,ALB,Albania,AL,2877797,27400,105.0,41.1533,20.1683,0,
Albania,2020-01-15,101.43,,98.93,ALB,Albania,AL,2877797,27400,105.0,41.1533,20.1683,0,
Albania,2020-01-16,97.2,,98.46,ALB,Albania,AL,2877797,27400,105.0,41.1533,20.1683,0,
Albania,2020-01-17,103.55,,100.85,ALB,Albania,AL,2877797,27400,105.0,41.1533,20.1683,0,
Albania,2020-01-18,112.67,,100.13,ALB,Albania,AL,2877797,27400,105.0,41.1533,20.1683,0,
Albania,2020-01-19,104.83,,82.13,ALB,Albania,AL,2877797,27400,105.0,41.1533,20.1683,0,
Albania,2020-01-20,94.39,,95.65,ALB,Albania,AL,2877797,27400,105.0,41.1533,20.1683,0,
Albania,2020-01-21,94.07,,97.78,ALB,Albania,AL,2877797,27400,105.0,41.1533,20.1683,0,
Albania,2020-01-22,93.51,,95.39,ALB,Albania,AL,2877797,27400,105.0,41.1533,20.1683,0,
Albania,2020-01-23,92.94,,94.24,ALB,Albania,AL,2877797,27400,105.0,41.1533,20.1683,0,
Albania,2020-01-24,102.13,,93.73,ALB,Albania,AL,2877797,27400,105.0,41.1533,20.1683,0,
Albania,2020-01-25,102.38,,97.06,ALB,Albania,AL,2877797,27400,105.0,41.1533,20.1683,0,
Albania,2020-01-26,101.41,,77.27,ALB,Albania,AL,2877797,27400,105.0,41.1533,20.1683,0,
Albania,2020-01-27,94.62,,83.37,ALB,Albania,AL,2877797,27400,105.0,41.1533,20.1683,0,
Albania,2020-01-28,89.12,,82.73,ALB,Albania,AL,2877797,27400,105.0,41.1533,20.1683,0,
Albania,2020-01-29,90.17,,84.39,ALB,Albania,AL,2877797,27400,105.0,41.1533,20.1683,0,
Albania,2020-01-30,90.21,,88.19,ALB,Albania,AL,2877797,27400,105.0,41.1533,20.1683,0,
Albania,2020-01-31,97.71,,90.79,ALB,Albania,AL,2877797,27400,105.0,41.1533,20.1683,0,
Albania,2020-02-01,102.5,,88.7,ALB,Albania,AL,2877797,27400,105.0,41.1533,20.1683,0,
Albania,2020-02-02,108.92,,79.32,ALB,Albania,AL,2877797,27400,105.0,41.1533,20.1683,0,
Albania,2020-02-03,92.82,,87.12,ALB,Albania,AL,2877797,27400,105.0,41.1533,20.1683,0,
Albania,2020-02-04,91.48,,88.06,ALB,Albania,AL,2877797,27400,105.0,41.1533,20.1683,0,
Albania,2020-02-05,93.99,,99.4,ALB,Albania,AL,2877797,27400,105.0,41.1533,20.1683,0,
Albania,2020-02-06,96.72,,85.84,ALB,Albania,AL,2877797,27400,105.0,41.1533,20.1683,0,
Albania,2020-02-07,102.46,,94.63,ALB,Albania,AL,2877797,27400,105.0,41.1533,20.1683,0,
Albania,2020-02-08,103.29,,99.74,ALB,Albania,AL,2877797,27400,105.0,41.1533,20.1683,0,
Albania,2020-02-09,107.83,,81.41,ALB,Albania,AL,2877797,27400,105.0,41.1533,20.1683,0,
Albania,2020-02-10,87.99,,90.19,ALB,Albania,AL,2877797,27400,105.0,41.1533,20.1683,0,
Albania,2020-02-11,94.18,,90.45,ALB,Albania,AL,2877797,27400,105.0,41.1533,20.1683,0,
Albania,2020-02-12,94.62,,94.16,ALB,Albania,AL,2877797,27400,105.0,41.1533,20.1683,0,
