Country,Place,Start date,End date,Level
Albania,,2020-03-13,,National
Algeria,Algiers,2020-03-23,2020-04-19,City
Argentina,,2020-03-19,2020-05-10,National
Armenia,,2020-03-24,2020-04-14,National
Australia,,2020-03-23,,National
Austria,,2020-03-16,2020-04-13,National
Azerbaijan,,2020-03-31,2020-04-20,National
Bangladesh,,2020-03-26,2020-04-25,National
Barbados,,2020-03-28,2020-05-03,National
Belgium,,2020-03-18,2020-04-19,National
Bermuda,,2020-04-04,2020-05-02,National
Bolivia,,2020-03-22,2020-04-15,National
Botswana,,2020-04-02,2020-04-30,National
Brazil,Santa Catarina,2020-03-17,2020-04-07,State
Chile,,2020-03-19,,National
Colombia,,2020-03-25,2020-05-11,National
Republic of the Congo,,2020-03-31,2020-04-20,National
Costa Rica,,2020-03-23,,National
Croatia,,2020-03-18,2020-04-19,National
Cuba,,2020-03-23,2020-04-20,National
Czech Republic,,2020-03-16,2020-04-12,National
Denmark,,2020-03-11,2020-04-13,National
Dominican Republic,,2020-03-19,,National
Ecuador,,2020-03-16,2020-03-31,National
El Salvador,,2020-03-12,2020-04-02,National
Eritrea,,2020-04-02,2020-04-23,National
Fiji,Lautoka,2020-03-20,2020-04-07,City
Finland,Uusimaa,2020-03-27,2020-04-16,Region
France,,2020-03-17,2020-05-11,National
Georgia,,2020-03-31,2020-04-21,National
Germany,,2020-03-23,"2020-04-20 to
2020-05-10",National
Ghana,Accra,2020-03-30,2020-04-12,Metropolitan Area
Greece,,2020-03-23,2020-05-04,National
Guernsey,,2020-03-25,,National
Honduras,,2020-03-20,2020-05-17,National
Hungary,,2020-03-28,2020-04-10,National
India,,2020-03-25,2020-05-18,National
Iraq,,2020-03-22,2020-04-11,National
Ireland,,2020-03-12,2020-05-18,National
Israel,Bnei Brak,2020-04-02,,City
Italy,,2020-03-09,2020-05-03,National
Jamaica,Saint Catherine,2020-04-15,2020-04-22,Parish
Jordan,,2020-03-18,2020-04-30,National
Kosovo,,2020-03-14,2020-05-04 ,National
Kuwait,,2020-03-14,2020-03-29,National
Lebanon,,2020-03-15,2020-03-28,National
Liberia,Margibi,2020-03-23,2020-04-11,County
Libya,,2020-03-22,,National
Lithuania,,2020-03-16,2020-04-27,National
Luxembourg,,2020-03-18,"2020-04-20 to
2020-05-25",National
Madagascar,Antananarivo,2020-03-23,,City
Malaysia,,2020-03-18,2020-05-12,National
Mongolia,,2020-03-10,2020-03-16,National
Montenegro,Tuzi,2020-03-24,,Municipality
Morocco,,2020-03-19,2020-04-20,National
Namibia,,2020-03-27,2020-05-04,National
Nepal,,2020-03-24,2020-04-15,National
Netherlands,,2020-03-16,2020-04-28,National
New Zealand,,2020-03-26,2020-05-10,National
Nigeria,Abuja,2020-03-30,2020-04-12,City
Northern Cyprus,,2020-03-30,,National
Norway,,2020-03-12,2020-04-13,National
Oman,Muscat,2020-04-10,2020-05-29,Governorate
Oman,Jalan Bani Bu Ali,2020-04-16,TBD,Province
Pakistan,,2020-03-24,2020-05-09,National
Panama,,2020-03-25,,National
Papua New Guinea,,2020-03-24,2020-04-07,National
Paraguay,,2020-03-20,2020-04-12,National
Peru,,2020-03-16,2020-05-10,National
Philippines,Cebu,2020-03-27,2020-05-15,Province
Philippines,Davao Region,2020-03-19,2020-05-15,Region
Philippines,Luzon,2020-03-15,2020-04-30to 2020-05-15,Island group
Philippines,Soccsksargen,2020-03-23,,Region
Poland,,2020-03-13,2020-04-11,National
Portugal,,2020-03-19,2020-04-02,National
Qatar,Doha Industrial Area,2020-03-11,,Industrial park
Romania,,2020-03-25,2020-05-12,National
Russia,Moscow,2020-03-30,2020-05-12,Metropolitan area
Russia,Rest of the country,2020-03-28,2020-04-30,National
Rwanda,,2020-03-21,2020-04-19,National
Samoa,,2020-03-26,2020-04-08,National
San Marino,,2020-03-14,2020-05-05,National
Saudi Arabia,Jeddah,2020-03-29,,City
Serbia,,2020-03-15,"2020-04-21
to 2020-05-04",National
Singapore,,2020-04-07,2020-06-01,National
Slovakia,,2020-03-16,2020-04-22,National
South Africa,,2020-03-26,2020-04-30,National
Spain,,2020-03-14,2020-05-09,National
Switzerland,,2020-03-17,"2020-04-27
to 2020-05-11",National
Thailand,,2020-03-25,2020-05-31,National
Trinidad and Tobago,,2020-03-17,2020-03-31,National
Tunisia,,2020-03-22,2020-04-19,National
Turkey,,2020-04-23,2020-04-27,National
Ukraine,,2020-03-17,2020-04-24,National
United Arab Emirates,,2020-03-26,2020-04-17,National
United Kingdom,,2020-03-23,,National
United States,California,2020-03-19,,State
United States,"Clark County, NV",2020-03-20,,County
United States,Connecticut,2020-03-23,2020-04-22,State
United States,"Kansas City, KS",2020-03-24,2020-04-19,City
United States,Massachusetts,2020-03-24,2020-05-04,State
Venezuela,,2020-03-17,2020-05-13,National
Zimbabwe,,2020-03-30,2020-05-02,National
